product_id,sku,product_name,top_category,sub_category,brand,unit_price,unit_cost,current_stock,min_stock_level,max_stock_level,supplier,launch_date,is_active,margin
P000001,APFOGA0001,Gap Month Footwear,Apparel,Footwear,Gap,571.03,283.9,240,32,867,Universal Trading LLC,2024-07-11,True,50.28
P000002,BEHAL'0002,L'Oreal Public Haircare,Beauty & Personal Care,Haircare,L'Oreal,665.5,345.49,133,45,155,Universal Trading LLC,2023-06-17,True,48.09
P000003,HODEIK0003,IKEA Letter Decor,Home & Living,Decor,IKEA,924.38,578.19,767,37,845,Prime Distributors,2024-02-13,True,37.45
P000004,APKILE0004,Levi's Middle Kids' Clothing,Apparel,Kids' Clothing,Levi's,709.94,463.6,439,39,622,Retail Solutions Co,2023-04-30,True,34.7
P000005,ELLALG0005,LG Action Laptops,Electronics,Laptops,LG,202.06,94.93,266,41,831,Direct Imports Ltd,2022-12-28,False,53.02
P000006,BEMAMA0006,MAC Represent Makeup,Beauty & Personal Care,Makeup,MAC,339.56,180.43,19,41,1079,Prime Distributors,2023-03-30,True,46.86
P000007,HOSTHO0007,HomeDepot Lead Storage,Home & Living,Storage,HomeDepot,20.07,12.97,617,39,719,Universal Trading LLC,2024-11-10,True,35.38
P000008,HOSTIK0008,IKEA Beautiful Storage,Home & Living,Storage,IKEA,237.9,131.3,473,25,654,GlobalSupply Corp,2022-09-22,True,44.81
P000009,FOHENE0009,Nestle Across Health Foods,Food & Beverages,Health Foods,Nestle,462.25,305.59,209,22,840,Prime Distributors,2024-08-09,False,33.89
P000010,ELGAHP0010,HP Visit Gaming,Electronics,Gaming,HP,183.93,128.51,131,32,171,Mega Wholesale,2022-09-03,True,30.13
P000011,BEMANI0011,Nivea Yard Makeup,Beauty & Personal Care,Makeup,Nivea,600.73,396.19,119,25,309,Universal Trading LLC,2023-04-18,True,34.05
P000012,APKIH&0012,H&M Hard Kids' Clothing,Apparel,Kids' Clothing,H&M,770.03,442.56,87,10,116,Mega Wholesale,2023-11-05,False,42.53
P000013,HOFUWA0013,Wayfair Player Furniture,Home & Living,Furniture,Wayfair,877.54,471.47,163,45,185,Prime Distributors,2024-11-12,True,46.27
P000014,ELSMDE0014,Dell Race Smartphones,Electronics,Smartphones,Dell,928.24,412.9,298,11,344,Universal Trading LLC,2023-06-21,True,55.52
P000015,BEPEMA0015,Maybelline Ahead Personal Hygiene,Beauty & Personal Care,Personal Hygiene,Maybelline,803.01,557.36,311,11,337,Direct Imports Ltd,2024-02-28,True,30.59
